分类,效果,问题描述,修改建议,优先级
🔴 严重过强 (需削),6U 恋人正位,抽2大牌选1打出 = 大牌二选一 + 额外大牌效果。理论上等价于「免费使用1次顶级大牌效果」,改为「抽2大牌，选1打出，另1放回牌堆底」而非丢弃，降低牌差价值,🔥 必须改
🔴 严重过强 (需削),3U 女皇正位,无条件 +3 卡差，纯正面无代价，任何时机打出都稳赚,改为「抽2张小牌打出」或「抽3张但选择2张打出、1张丢弃」,🔥 必须改
🔴 严重过强 (需削),15U 恶魔正位,夺敌方整阵牌，最大可造成 40-50 点净摆动,改为「将敌方小牌与己方小牌互换」而非直接夺取,🔥 必须改
🔴 严重过强 (需削),17U 星星正位,看5选2 = 牌差+情报差双重碾压,改为「看顶3选2打出」减少情报量，或改为「看5选2但其余放回牌堆」而非丢弃,🔥 必须改
🟡 偏强 (可选微调),12R 倒吊人逆位,摧毁敌方整阵太狠,改为「选阵敌方一半小牌(向上取整)丢弃」,⚡ 强烈建议
🟡 偏强 (可选微调),14R 节制逆位,选数字全清太精准，实体玩时操作复杂,改为「选择1~10中一个数字，该数字及±1的牌全弃」(扩大范围但降低精确度),⚡ 强烈建议
🔵 严重过弱 (需加强),10U 命运之轮正位,纯旋转零收益，几乎等于浪费一张大牌,改为「所有己方小牌右移后，新进入的阵+3分额外加分」,🔥 必须改
🔵 严重过弱 (需加强),10R 命运之轮逆位,纯旋转零收益，几乎等于浪费一张大牌,改为「所有己方小牌左移后，新进入的阵+3分额外加分」,🔥 必须改
🔵 严重过弱 (需加强),1U 魔术师正位,仅移动1张牌，影响太小,改为「选2阵，第1阵己方所有小牌移至第2阵」,🔥 必须改
🔵 严重过弱 (需加强),1R 魔术师逆位,移动敌方1张牌到自己另一阵，几乎没有战术价值,改为「选敌方1阵，将该阵敌方所有小牌平均分配到其他3阵」,🔥 必须改
🔵 严重过弱 (需加强),3R 女皇逆位,≤3小牌弃掉太挑条件，经常无事发生,改为「选阵双方所有数字牌丢弃(保留宫廷牌)」或扩到≤4,⚡ 强烈建议
🔵 严重过弱 (需加强),17R 星星逆位,互换+送敌方2张牌 = 主动帮对手,去掉「敌方抽2张」部分，改为纯粹互换即可,🔥 必须改
🔵 严重过弱 (需加强),8R 力量逆位,需己方≥3张的前提太苛刻,降低门槛为「己方至少1张小牌」，或去掉条件改为全场可用,⚡ 强烈建议
🟢 设计优化建议,18U 月亮正位 暗置牌,暗置牌难以追踪,实体牌可翻面放置，但需防止混淆。建议暗置牌用专门的背面朝上区,💡 可选优化
🟢 设计优化建议,无视元素限制 机制,8种效果涉及此机制，导致场上牌的花色与实际阵不匹配，计分时会迷惑,统一改为：无视限制打出的牌在终局时按实际所属花色阵计分,💡 可选优化
🟢 设计优化建议,21U 世界正位 即胜条件,理论触发率<2%，几乎永远不能赢,放宽为「含任意8个不同数字」即可即胜,💡 可选优化
🟢 设计优化建议,宫廷牌=10点 强度,4×4=16张宫廷牌占总牌量28.5%，每张=10点远超平均5.5点,抽到宫廷牌天然优势太大，建议考虑降为8点或将宫廷牌数量减少,💡 可选优化
